,n_file,len,error_min
65,66,986,0.00017054843549965386
2,3,994,0.00029689528874779367
72,73,1008,0.00031659556730095017
45,46,1013,0.00028769207574738225
1,2,1015,0.00024632495591541884
40,41,1017,0.00034711271360645665
77,78,1018,0.00018715066593561974
68,69,1026,0.0005161916405027793
3,4,1032,0.00013232710498544024
98,99,1036,0.0003509959363180527
38,39,1044,0.00022845770402348762
18,19,1045,0.0004596153810255827
86,87,1050,0.00025390885456453145
90,91,1071,0.0003668819812051837
0,1,1106,0.00023358792940522075
89,90,1109,0.00032698876689339976
95,96,1119,0.00015193198848180572
41,42,1161,0.00035929221775624244
43,44,1191,0.0025800775215872314
69,70,1218,0.0001581864817665697
37,38,1244,0.07548323224636862
14,15,1275,0.0003352377100532467
92,93,1303,0.0004078148298744935
61,62,1355,0.000681268784909438
54,55,1416,0.0004907876221728994
34,35,1442,0.0025517941176279825
80,81,1445,9.517208028053538e-05
11,12,1466,0.00044558279973952463
49,50,1479,0.0006549380651623317
39,40,1481,0.0005427862665304117
28,29,1494,0.00032382132087289695
85,86,1500,0.0007372373903554707
23,24,1521,0.15018821264481363
52,53,1552,0.000448118551086825
83,84,1553,0.0004898726464262401
88,89,1567,0.00035929364594033535
60,61,1600,0.0006997948222742321
7,8,1633,0.025581808700250067
96,97,1639,0.00047129468492898547
74,75,1689,0.0007370875016254184
22,23,1707,0.0006495532153553908
91,92,1724,0.0006323575456949285
64,65,1752,0.0005271742014363298
19,20,1756,0.000756117164833505
31,32,1822,0.0005311034079268469
55,56,1851,0.0009456856724388583
56,57,1859,0.00038886964209174416
84,85,1905,0.0007395087472483608
4,5,1929,0.0007142050326191962
25,26,1930,0.0006334129524006958
76,77,1954,0.008791129497525816
16,17,1970,0.05821087144074965
26,27,1990,0.0008983856999417281
46,47,2106,0.0005772843880898619
94,95,2151,0.0020891045815819953
15,16,2215,0.0015294699092444734
78,79,2248,0.0012026483471797122
70,71,2286,0.0015247671922169518
24,25,2309,0.004657070570995683
30,31,2419,0.0021971481577955907
47,48,2425,0.001426330516847055
21,22,2459,0.0024439170908645337
5,6,2497,0.0012332999303709426
73,74,2584,0.0015172207592543433
51,52,2625,0.0030168492110240665
36,37,2630,0.00179672167781253
99,100,2731,0.0029016661108248023
13,14,2735,0.0012617606088389222
29,30,2739,0.16305221335174752
97,98,2750,0.004512044596477972
44,45,2756,0.002472624484052418
50,51,2757,0.002509885738149925
66,67,2937,0.0039055455946583615
35,36,2950,0.004831180536370897
58,59,3004,0.0024231901927781797
79,80,3051,0.00937989848019303
6,7,3413,0.0132096759036253
53,54,3427,0.01387676939233408
32,33,3497,0.005643127589558773
71,72,3519,0.006929270125582033
63,64,3592,0.19858577479398198
81,82,3595,0.0076009721951056436
33,34,3666,0.03476727143497124
9,10,3668,0.20406680443509206
82,83,3924,0.038230287449760904
48,49,3995,0.2283360555253369
12,13,4098,0.1739300604188768
75,76,4201,0.02721995402726548
87,88,4328,0.1581917538356158
27,28,4357,0.1768251134659669
62,63,4412,0.19341430689705102
20,21,4801,0.1848736571524726
93,94,4863,0.012050313377562863
42,43,5271,0.13425980896491221
57,58,5891,0.0835277724636713
17,18,5966,0.1152571391833367
10,11,6471,0.19322094918677082
8,9,6707,0.1748946850822331
67,68,7652,0.17897075238362664
59,60,9097,0.19435866737778856
